Participant_ID,Age_Group,Gender,Background,Experience,Task,NASA_Mental,NASA_Physical,NASA_Temporal,NASA_Performance,NASA_Effort,NASA_Frustration,SWAT_Time,SWAT_Mental,SWAT_Stress
28,26-35 years,Male,General users,Beginner user,Simple Image Generation,12.0,9.0,8,8,7.0,12.0,1,2,1
29,18-25 years,Male,General users,Beginner user,Simple Image Generation,11.0,12.0,7,12,12.0,8.0,2,1,2
30,36-45 years,Male,Strong technical background,Average experience,Simple Image Generation,7.0,10.0,10,10,9.0,12.0,1,1,1
31,26-35 years,Male,Strong technical background,Average experience,Simple Image Generation,11.0,10.0,12,11,6.0,6.0,1,1,1
32,18-25 years,Female,Creative industries,Beginner user,Simple Image Generation,8.0,10.0,12,7,12.0,10.0,2,1,2
33,36-45 years,Male,General users,Beginner user,Simple Image Generation,11.0,9.0,7,7,12.0,7.0,1,2,2
34,26-35 years,Female,Creative industries,High experience,Simple Image Generation,6.0,11.0,8,11,12.0,6.0,1,3,1
35,18-25 years,M,Strong technical background,Average experience,Simple Image Generation,12.0,12.0,9,11,7.0,12.0,1,2,1
36,36-45 years,Male,Strong technical background,Average experience,Simple Image Generation,10.0,9.0,6,6,7.0,10.0,1,1,1
37,26-35 years,Female,Creative industries,Beginner user,Simple Image Generation,7.0,8.0,11,7,9.0,12.0,1,3,1
38,18-25 years,Male,General users,Beginner user,Simple Image Generation,6.0,8.0,11,12,12.0,7.0,1,1,1
39,36-45 years,F,Creative industries,High experience,Simple Image Generation,11.0,6.0,11,6,11.0,10.0,1,1,1
40,26-35 years,Male,Strong technical background,Average experience,Simple Image Generation,7.0,6.0,8,7,12.0,7.0,1,1,2
41,18-25 years,Male,Strong technical background,Average experience,Simple Image Generation,12.0,7.0,11,7,8.0,12.0,2,2,2
42,36-45 years,Female,Creative industries,Beginner user,Simple Image Generation,7.0,10.0,12,9,12.0,10.0,1,1,1
43,26-35 years,Male,General users,Beginner user,Simple Image Generation,11.0,12.0,12,12,9.0,10.0,1,2,1
44,18-25 years,Female,Creative industries,High experience,Simple Image Generation,9.0,8.0,11,10,9.0,12.0,1,1,1
45,36-45 years,Male,Strong technical background,Average experience,Simple Image Generation,6.0,7.0,8,6,6.0,9.0,1,1,1
46,26-35 years,Male,Strong technical background,Average experience,Simple Image Generation,10.0,6.0,10,11,12.0,10.0,2,1,1
47,18-25 years,Female,Creative industries,Beginner user,Simple Image Generation,12.0,11.0,11,12,10.0,9.0,2,1,2
48,36-45 years,Male,General users,Beginner user,Simple Image Generation,8.0,8.0,12,8,8.0,7.0,2,2,1
49,26-35 years,Female,Creative industries,High experience,Simple Image Generation,9.0,12.0,7,8,9.0,8.0,1,1,1
50,18-25 years,Male,Strong technical background,Average experience,Simple Image Generation,9.0,9.0,6,7,10.0,12.0,1,1,2
51,36-45 years,Male,Strong technical background,Average experience,Complex Image Generation,12.0,16.0,14,17,18.0,13.0,2,1,2
52,26-35 years,Female,Creative industries,Beginner user,Complex Image Generation,15.0,17.0,12,15,14.0,16.0,2,2,1
53,18-25 years,Male,General users,Beginner user,Complex Image Generation,12.0,16.0,16,13,16.0,16.0,2,2,2
54,36-45 years,Female,Creative industries,High experience,Complex Image Generation,13.0,15.0,13,13,14.0,,2,2,1
55,26-35 years,Male,Strong technical background,Average experience,Complex Image Generation,16.0,12.0,13,17,13.0,12.0,2,1,2
56,18-25 years,M,Strong technical background,Average experience,Complex Image Generation,13.0,13.0,14,12,18.0,18.0,2,2,2
57,36-45 years,Female,Creative industries,Beginner user,Complex Image Generation,12.0,16.0,17,12,18.0,12.0,3,2,2
58,26-35 years,Male,General users,Beginner user,Complex Image Generation,15.0,18.0,17,14,16.0,13.0,2,2,1
59,18-25 years,Female,Creative industries,High experience,Complex Image Generation,18.0,17.0,14,15,18.0,18.0,2,2,2
60,36-45 years,Male,Strong technical background,Average experience,Complex Image Generation,12.0,17.0,14,17,17.0,18.0,1,2,1
61,26-35 years,Male,Strong technical background,Average experience,Complex Image Generation,18.0,17.0,14,12,17.0,15.0,2,2,3
62,18-25 years,Female,Creative industries,Beginner user,Complex Image Generation,16.0,18.0,18,15,13.0,14.0,2,2,2
63,36-45 years,Male,General users,Beginner user,Complex Image Generation,14.0,16.0,13,18,16.0,18.0,1,3,2
64,26-35 years,Female,Creative industries,High experience,Complex Image Generation,12.0,13.0,13,18,16.0,14.0,2,2,3
65,18-25 years,Male,Strong technical background,Average experience,Complex Image Generation,17.0,16.0,16,16,12.0,14.0,2,3,2
66,36-45 years,Male,Strong technical background,Average experience,Complex Image Generation,12.0,15.0,14,13,14.0,12.0,2,2,2
67,26-35 years,Female,Creative industries,Beginner user,Complex Image Generation,13.0,16.0,13,15,18.0,12.0,3,1,2
68,18-25 years,Male,General users,Beginner user,Complex Image Generation,16.0,18.0,17,12,16.0,14.0,2,3,2
69,36-45 years,Female,Creative industries,High experience,Complex Image Generation,13.0,,15,12,17.0,16.0,2,2,1
70,26-35 years,Male,Strong technical background,Average experience,Complex Image Generation,12.0,18.0,14,15,15.0,13.0,2,2,3
71,18-25 years,Male,Strong technical background,Average experience,Complex Image Generation,16.0,12.0,12,18,17.0,17.0,1,1,3
72,36-45 years,Female,Creative industries,Beginner user,Complex Image Generation,13.0,15.0,16,16,18.0,17.0,3,2,2
73,26-35 years,Male,General users,Beginner user,Complex Image Generation,18.0,15.0,13,14,12.0,13.0,1,3,2
74,18-25 years,Female,Creative industries,High experience,Complex Image Generation,17.0,12.0,14,12,13.0,16.0,2,2,1
75,36-45 years,Male,Strong technical background,Average experience,Complex Image Generation,18.0,14.0,15,12,18.0,14.0,2,2,2
76,26-35 years,Male,Strong technical background,Average experience,Complex Image Generation,17.0,18.0,16,18,13.0,13.0,1,2,2
77,18-25 years,Female,Creative industries,Beginner user,Complex Image Generation,17.0,16.0,15,16,13.0,17.0,1,2,2
78,36-45 years,Male,General users,Beginner user,Complex Image Generation,17.0,18.0,15,14,13.0,12.0,2,2,2
79,26-35 years,F,Creative industries,High experience,Complex Image Generation,12.0,14.0,12,18,15.0,14.0,2,1,2
80,18-25 years,Male,Strong technical background,Average experience,Complex Image Generation,17.0,14.0,12,16,15.0,14.0,2,2,3
81,36-45 years,Male,Strong technical background,Average experience,Complex Image Generation,13.0,14.0,15,12,17.0,18.0,2,2,2
82,26-35 years,Female,Creative industries,Beginner user,Complex Image Generation,13.0,17.0,17,12,12.0,17.0,3,2,2
83,18-25 years,Male,General users,Beginner user,Complex Image Generation,16.0,15.0,14,15,17.0,14.0,2,2,1
84,36-45 years,Female,Creative industries,High experience,Complex Image Generation,18.0,16.0,14,17,18.0,15.0,2,2,1
85,26-35 years,Male,Strong technical background,Average experience,Complex Image Generation,12.0,12.0,12,15,12.0,15.0,3,3,2
86,18-25 years,Male,Strong technical background,Average experience,Complex Image Generation,16.0,18.0,12,18,13.0,16.0,2,3,2
87,36-45 years,Female,Creative industries,Beginner user,Complex Image Generation,13.0,12.0,18,16,14.0,14.0,2,2,3
88,26-35 years,Male,General users,Beginner user,Complex Image Generation,13.0,14.0,17,18,15.0,16.0,3,2,1
89,18-25 years,Female,Creative industries,High experience,Complex Image Generation,14.0,18.0,12,16,16.0,17.0,3,2,1
90,36-45 years,Male,Strong technical background,Average experience,Complex Image Generation,16.0,14.0,12,15,15.0,17.0,2,2,1
91,26-35 years,Male,Strong technical background,Average experience,Complex Image Generation,16.0,16.0,12,17,18.0,13.0,3,2,2
92,18-25 years,Female,Creative industries,Beginner user,Complex Image Generation,14.0,13.0,13,13,13.0,15.0,1,2,3
93,36-45 years,Male,General users,Beginner user,Complex Image Generation,16.0,12.0,12,14,18.0,14.0,2,2,2
94,26-35 years,Female,Creative industries,High experience,Complex Image Generation,18.0,18.0,15,18,14.0,16.0,2,2,1
95,18-25 years,Male,Strong technical background,Average experience,Complex Image Generation,12.0,15.0,12,14,17.0,16.0,2,1,2
96,36-45 years,Male,Strong technical background,Average experience,Complex Image Generation,18.0,18.0,14,12,15.0,12.0,2,2,2
97,26-35 years,Female,Creative industries,Beginner user,Complex Image Generation,12.0,18.0,17,15,15.0,13.0,2,2,2
98,18-25 years,Male,General users,Beginner user,Complex Image Generation,15.0,18.0,17,12,16.0,13.0,2,1,3
99,36-45 years,Female,Creative industries,High experience,Complex Image Generation,16.0,15.0,16,14,13.0,16.0,2,2,3
100,26-35 years,Male,Strong technical background,Average experience,Complex Image Generation,13.0,14.0,16,18,17.0,16.0,2,2,2
101,18-25 years,Male,Strong technical background,Average experience,Video Generation,19.0,17.0,17,21,18.0,21.0,2,2,3
102,36-45 years,Female,Creative industries,Beginner user,Video Generation,21.0,18.0,21,21,16.0,21.0,3,3,3
103,26-35 years,Male,General users,Beginner user,Video Generation,21.0,17.0,16,21,21.0,18.0,3,3,2
104,18-25 years,F,Creative industries,High experience,Video Generation,18.0,18.0,20,20,18.0,16.0,3,3,2
105,36-45 years,M,Strong technical background,Average experience,Video Generation,17.0,16.0,21,21,18.0,21.0,3,3,3
106,26-35 years,Male,Strong technical background,Average experience,Video Generation,19.0,21.0,19,21,17.0,16.0,1,2,2
107,18-25 years,Female,Creative industries,Beginner user,Video Generation,21.0,16.0,21,17,21.0,20.0,3,3,3
108,36-45 years,Male,General users,Beginner user,Video Generation,16.0,21.0,21,19,19.0,19.0,3,3,3
109,26-35 years,Female,Creative industries,High experience,Video Generation,17.0,21.0,18,21,19.0,21.0,3,3,3
110,18-25 years,Male,Strong technical background,Average experience,Video Generation,17.0,18.0,17,16,21.0,17.0,2,3,3
111,36-45 years,M,Strong technical background,Average experience,Video Generation,18.0,19.0,18,20,20.0,19.0,3,3,3
112,26-35 years,Female,creative industry,Beginner user,Video Generation,17.0,21.0,21,21,,21.0,3,2,3
113,18-25 years,M,General users,Beginner user,Video Generation,16.0,19.0,16,18,16.0,19.0,3,2,2
114,36-45 years,Female,Creative industries,High experience,Video Generation,21.0,21.0,21,18,17.0,21.0,3,3,3
115,26-35 years,Male,Strong technical background,Average experience,Video Generation,17.0,21.0,21,17,20.0,17.0,3,3,3
116,18-25 years,Male,Strong technical background,Average experience,Video Generation,20.0,16.0,18,21,18.0,16.0,3,3,3
117,36-45 years,Female,Creative industries,Beginner user,Video Generation,19.0,21.0,18,19,20.0,17.0,2,3,2
118,26-35 years,Male,General users,Beginner user,Video Generation,19.0,16.0,17,16,21.0,21.0,3,3,2
119,18-25 years,Female,Creative industries,High experience,Video Generation,17.0,17.0,19,19,16.0,21.0,3,3,3
120,36-45 years,Male,Strong technical background,Average experience,Video Generation,18.0,17.0,20,21,18.0,17.0,3,2,3
121,26-35 years,Male,Strong technical background,Average experience,Video Generation,21.0,18.0,17,16,17.0,21.0,3,2,2
122,18-25 years,Female,Creative industries,Beginner user,Video Generation,21.0,17.0,17,21,21.0,21.0,3,3,3
123,36-45 years,M,General users,Beginner user,Video Generation,20.0,21.0,21,20,21.0,16.0,3,3,3
124,26-35 years,F,Creative industries,High experience,Video Generation,17.0,16.0,21,21,19.0,20.0,3,3,3
125,18-25 years,Male,Strong technical background,Average experience,Video Generation,21.0,18.0,21,21,20.0,19.0,1,2,2
126,36-45 years,Male,creative industry,Average experience,Video Generation,19.0,18.0,20,18,20.0,20.0,2,3,3
127,26-35 years,Female,Creative industries,Beginner user,Video Generation,21.0,21.0,20,21,18.0,20.0,3,3,3
128,18-25 years,Male,General users,Beginner user,Video Generation,16.0,20.0,21,21,21.0,16.0,3,2,3
129,36-45 years,F,Creative industries,High experience,Video Generation,16.0,21.0,19,18,16.0,21.0,3,3,3
130,26-35 years,Male,Strong technical background,Average experience,Video Generation,17.0,16.0,20,21,21.0,20.0,2,3,3
131,18-25 years,Male,Strong technical background,Average experience,Video Generation,16.0,21.0,17,21,16.0,16.0,3,3,3
132,36-45 years,Female,Creative industries,Beginner user,Video Generation,19.0,19.0,17,19,16.0,19.0,2,3,3
133,26-35 years,Male,General users,Beginner user,Video Generation,21.0,17.0,19,19,20.0,21.0,2,3,3
134,18-25 years,Female,Creative industries,High experience,Video Generation,18.0,17.0,18,20,17.0,17.0,3,3,3
135,36-45 years,Male,Strong technical background,Average experience,Video Generation,20.0,16.0,17,18,18.0,18.0,3,1,3
136,26-35 years,Male,Strong technical background,Average experience,Video Generation,16.0,21.0,16,17,21.0,20.0,2,3,3
137,18-25 years,Female,Creative industries,Beginner user,Video Generation,17.0,21.0,21,16,21.0,16.0,2,3,3
138,36-45 years,Male,General users,Beginner user,Video Generation,18.0,19.0,17,21,21.0,20.0,3,3,3
139,26-35 years,Female,Creative industries,High experience,Video Generation,19.0,18.0,21,21,18.0,18.0,3,3,3
140,18-25 years,Male,Strong technical background,Average experience,Video Generation,16.0,19.0,20,21,18.0,21.0,3,2,3
141,36-45 years,Male,Strong technical background,Average experience,Video Generation,19.0,21.0,20,21,21.0,16.0,2,3,1
142,26-35 years,Female,Creative industries,Beginner user,Video Generation,,18.0,21,16,16.0,18.0,2,3,3
143,18-25 years,Male,General users,Beginner user,Video Generation,19.0,17.0,19,17,17.0,20.0,2,3,3
144,36-45 years,Female,Creative industries,High experience,Video Generation,19.0,18.0,21,21,21.0,19.0,3,3,3
145,26-35 years,Male,Strong technical background,Average experience,Video Generation,21.0,21.0,20,16,19.0,19.0,3,3,3
146,18-25 years,Male,Strong technical background,Average experience,Video Generation,20.0,21.0,21,18,20.0,20.0,3,3,2
147,36-45 years,Female,Creative industries,Beginner user,Video Generation,17.0,17.0,19,16,21.0,18.0,3,3,3
148,26-35 years,Male,General users,Beginner user,Video Generation,16.0,19.0,17,19,21.0,21.0,2,3,3
149,18-25 years,Female,Creative industries,High experience,Video Generation,16.0,21.0,20,20,18.0,21.0,3,3,3
150,36-45 years,Male,Strong technical background,Average experience,Video Generation,20.0,16.0,17,19,19.0,17.0,3,3,2
